iter	MultiClass
0	1.561294046
1	1.35467922
2	1.21287752
3	1.107957731
4	1.024165867
5	0.9586013592
6	0.9057509718
7	0.8603764093
8	0.8209317318
9	0.7881638546
10	0.7596908126
11	0.7355880217
12	0.713327731
13	0.6923979639
14	0.6758853636
15	0.6596930401
16	0.6484068536
17	0.6366112106
18	0.6255409118
19	0.6163188433
20	0.6088187245
21	0.6001121827
22	0.5929906333
23	0.5865423308
24	0.5803000374
25	0.5752330139
26	0.5712369532
27	0.5671336023
28	0.5634080459
29	0.5586894365
30	0.5554632287
31	0.5520299762
32	0.549894831
33	0.5472654236
34	0.5441638031
35	0.5429442091
36	0.5410692512
37	0.5388812812
38	0.5371680299
39	0.5349958605
40	0.5323378606
41	0.5308951952
42	0.5301253952
43	0.5283669214
44	0.5271612441
45	0.5261610082
46	0.5246360298
47	0.5241080918
48	0.523227228
49	0.5227129515
50	0.520609154
51	0.5197244277
52	0.5188741724
53	0.5177579933
54	0.5161318379
55	0.5152477233
56	0.5142039795
57	0.5135913052
58	0.5131534011
59	0.5120880269
60	0.5114801915
61	0.5108938235
62	0.5104441257
63	0.5094410847
64	0.5090059107
65	0.5081845941
66	0.5074304418
67	0.5069433068
68	0.506445454
69	0.5058879637
70	0.5047355548
71	0.503961222
72	0.5031534115
73	0.5024090962
74	0.5018994699
75	0.5013306583
76	0.5008557068
77	0.50058219
78	0.5004055398
79	0.5000154474
80	0.4997438703
81	0.4993835219
82	0.4989850393
83	0.498734516
84	0.4982300092
85	0.4976631704
86	0.4972589809
87	0.4967953301
88	0.496329472
89	0.4958479174
90	0.495380254
91	0.4948795588
92	0.4946895631
93	0.4945705095
94	0.4942806836
95	0.4941054339
96	0.4936593481
97	0.493128553
98	0.4928201534
99	0.4925201147
100	0.492194661
101	0.4917786777
102	0.4916818385
103	0.4914833855
104	0.4913145146
105	0.490860399
106	0.4903950621
107	0.4897274408
108	0.4895072949
109	0.4891763738
110	0.4888569058
111	0.4886693862
112	0.4885142333
113	0.4881661569
114	0.4880194395
115	0.4878185271
116	0.4874220115
117	0.4869584254
118	0.4868425064
119	0.4867310896
120	0.4865296781
121	0.4859557016
122	0.4857564115
123	0.4855838738
124	0.4851793466
125	0.4850564871
126	0.4847418507
127	0.4844465136
128	0.484209225
129	0.4840248257
130	0.4835986848
131	0.4834731532
132	0.4832813524
133	0.4828606322
134	0.482688758
135	0.4822889115
136	0.4820066549
137	0.4818162696
138	0.4815523039
139	0.4813775978
140	0.4811289544
141	0.4810289516
142	0.4807644448
143	0.4805420571
144	0.4801402891
145	0.4799789106
146	0.479788919
147	0.4794806359
148	0.4793947104
149	0.4792616213
150	0.478958365
151	0.4788709009
152	0.4787915007
153	0.47868686
154	0.4785575611
155	0.4782897578
156	0.4781671685
157	0.4779537679
158	0.4778200022
159	0.4776198187
160	0.4774243595
161	0.4770416769
162	0.4768639851
163	0.4767785142
164	0.4766133467
165	0.4764309551
166	0.4762682044
167	0.4761658354
168	0.4759761569
169	0.4757971409
170	0.475597421
171	0.4754107635
172	0.475207839
173	0.4749477662
174	0.4748137763
175	0.4745629452
176	0.4743826119
177	0.4741951615
178	0.4741192513
179	0.4739867262
180	0.4737219488
181	0.4736170929
182	0.4735008655
183	0.4734047549
184	0.4732251344
185	0.4730821601
186	0.4728090198
187	0.4726338924
188	0.47239135
189	0.4723131146
190	0.4721620216
191	0.471948776
192	0.4717389234
193	0.4714829024
194	0.4712739697
195	0.4711514539
196	0.4710483448
197	0.4708906644
198	0.4708285497
199	0.470669117
200	0.4705744418
201	0.4704414601
202	0.4696491009
203	0.4694643356
204	0.469390615
205	0.468767995
206	0.468670687
207	0.4685140277
208	0.4682964794
209	0.4681609986
210	0.4678543161
211	0.467752095
212	0.4676677637
213	0.4675355246
214	0.467366175
215	0.4672089962
216	0.4671666161
217	0.4670686295
218	0.4668975099
219	0.466732759
220	0.4665364359
221	0.4664578996
222	0.4662678928
223	0.4661812667
224	0.4660761737
225	0.4659256686
226	0.4657718779
227	0.4656740291
228	0.4654462085
229	0.465296396
230	0.4651837705
231	0.4651062766
232	0.464961296
233	0.4647912611
234	0.464584703
235	0.4643873731
236	0.4642331892
237	0.4640132171
238	0.4638335213
239	0.4636591301
240	0.4635275299
241	0.4634001878
242	0.4632821468
243	0.4632014154
244	0.4630775725
245	0.4630343807
246	0.4628989749
247	0.4626282651
248	0.4624559876
249	0.4623902664
250	0.4623302291
251	0.4620575293
252	0.4618943857
253	0.4617498048
254	0.46167181
255	0.4615827135
256	0.4614987059
257	0.4613463644
258	0.4611849463
259	0.4610100463
260	0.4608501365
261	0.4607517137
262	0.4605694055
263	0.4603483298
264	0.4603077994
265	0.4599063217
266	0.459820411
267	0.4596310834
268	0.4595505033
269	0.4594578649
270	0.4592921045
271	0.4591746244
272	0.4590948529
273	0.4587560656
274	0.4586456396
275	0.4585617584
276	0.458466511
277	0.458382972
278	0.4582575416
279	0.4581891403
280	0.4581369697
281	0.4579655375
282	0.4578574855
