iter	Passed	Remaining
0	87	87198
1	162	81213
2	246	81765
3	325	81033
4	402	80154
5	487	80763
6	569	80855
7	660	81857
8	748	82365
9	828	81993
10	919	82712
11	1000	82407
12	1078	81908
13	1168	82288
14	1248	81989
15	1329	81750
16	1413	81748
17	1500	81836
18	1587	81941
19	1672	81950
20	1764	82253
21	1854	82425
22	1945	82657
23	2029	82521
24	2104	82062
25	2189	82006
26	2266	81682
27	2358	81885
28	2444	81850
29	2534	81938
30	2607	81517
31	2692	81445
32	2769	81154
33	2847	80909
34	2939	81039
35	3011	80642
36	3096	80586
37	3173	80337
38	3252	80141
39	3334	80029
40	3417	79940
41	3497	79777
42	3568	79422
43	3653	79369
44	3734	79256
45	3818	79182
46	3908	79246
47	3981	78971
48	4061	78818
49	4140	78672
50	4230	78729
51	4317	78706
52	4393	78502
53	4481	78508
54	4560	78352
55	4648	78361
56	4723	78140
57	4793	77846
58	4867	77637
59	4962	77742
60	5042	77615
61	5117	77418
62	5197	77306
63	5276	77173
64	5353	77014
65	5440	76986
66	5519	76856
67	5599	76745
68	5676	76589
69	5754	76450
70	5836	76363
71	5915	76243
72	5998	76166
73	6078	76062
74	6158	75957
75	6241	75884
76	6312	75673
77	6387	75505
78	6452	75230
79	6524	75034
80	6596	74840
81	6673	74715
82	6750	74584
83	6828	74461
84	6919	74481
85	6995	74343
86	7070	74202
87	7139	73990
88	7217	73874
89	7297	73781
90	7380	73728
91	7466	73690
92	7542	73564
93	7607	73321
94	7688	73239
95	7760	73080
96	7835	72945
97	7926	72954
98	8003	72840
99	8075	72679
100	8148	72532
101	8226	72422
102	8296	72250
103	8376	72169
104	8445	71987
105	8530	71949
106	8608	71845
107	8690	71773
108	8758	71596
109	8825	71404
110	8900	71282
111	8978	71186
112	9048	71025
113	9125	70926
114	9191	70738
115	9262	70584
116	9341	70497
117	9425	70449
118	9499	70330
119	9564	70137
120	9644	70060
121	9720	69952
122	9800	69875
123	9874	69755
124	9966	69763
125	10038	69630
126	10116	69541
127	10193	69445
128	10263	69299
129	10338	69188
130	10410	69060
131	10486	68958
132	10555	68810
133	10640	68765
134	10711	68631
135	10789	68545
136	10866	68450
137	10947	68380
138	11029	68319
139	11097	68172
140	11168	68041
141	11235	67888
142	11307	67764
143	11383	67667
144	11458	67564
145	11536	67480
146	11603	67330
147	11685	67269
148	11753	67131
149	11826	67016
150	11903	66925
151	11973	66801
152	12039	66647
153	12104	66495
154	12175	66376
155	12255	66304
156	12325	66179
157	12396	66061
158	12470	65961
159	12550	65891
160	12620	65770
161	12703	65714
162	12780	65627
163	12845	65479
164	12930	65434
165	13004	65337
166	13071	65201
167	13138	65064
168	13208	64947
169	13286	64867
170	13367	64804
171	13450	64751
172	13524	64650
173	13601	64568
174	13674	64463
175	13752	64387
176	13834	64325
177	13917	64269
178	14005	64238
179	14072	64106
180	14151	64035
181	14220	63913
182	14286	63781
183	14354	63657
184	14432	63581
185	14506	63484
186	14582	63398
187	14658	63314
188	14742	63260
189	14804	63115
190	14874	63002
191	14950	62918
192	15032	62857
193	15109	62773
194	15181	62671
195	15249	62552
196	15314	62422
197	15383	62308
198	15448	62183
199	15528	62114
200	15604	62029
201	15672	61913
202	15763	61888
203	15833	61781
204	15903	61674
205	15994	61648
206	16074	61578
207	16146	61479
208	16228	61420
209	16298	61315
210	16383	61264
211	16454	61159
212	16526	61063
213	16601	60977
214	16683	60912
215	16751	60802
216	16822	60699
217	16892	60594
218	16964	60500
219	17043	60427
220	17112	60321
221	17177	60200
222	17252	60114
223	17327	60028
224	17395	59916
225	17471	59834
226	17546	59751
227	17619	59659
228	17697	59584
229	17768	59487
230	17844	59403
231	17920	59322
232	17995	59239
233	18075	59171
234	18161	59120
235	18244	59062
236	18325	58995
237	18410	58945
238	18487	58865
239	18561	58777
240	18646	58723
241	18721	58641
242	18790	58536
243	18855	58422
244	18934	58350
245	18999	58235
246	19070	58138
247	19150	58067
248	19222	57976
249	19286	57858
250	19361	57775
251	19449	57730
252	19524	57646
253	19597	57558
254	19658	57432
255	19734	57354
256	19804	57255
257	19875	57161
258	19945	57064
259	20026	56998
260	20096	56902
261	20163	56795
262	20238	56714
263	20317	56642
264	20386	56545
265	20470	56487
266	20539	56386
267	20607	56287
268	20679	56195
269	20750	56102
270	20821	56011
271	20895	55926
272	20961	55821
273	21044	55761
274	21117	55672
275	21177	55552
276	21247	55458
277	21313	55353
278	21378	55248
279	21442	55138
280	21506	55028
281	21587	54962
282	21652	54859
283	21725	54772
284	21806	54707
285	21872	54604
286	21943	54515
287	22013	54421
288	22085	54333
289	22153	54237
290	22224	54147
291	22296	54061
292	22362	53960
293	22435	53874
294	22505	53783
295	22576	53696
296	22653	53620
297	22730	53545
298	22799	53453
299	22871	53365
300	22938	53268
301	23027	53222
302	23096	53129
303	23162	53029
304	23236	52948
305	23304	52854
306	23383	52783
307	23456	52701
308	23529	52617
309	23601	52533
310	23675	52452
311	23748	52368
312	23824	52292
313	23902	52220
314	23965	52115
315	24041	52040
316	24124	51978
317	24203	51908
318	24264	51799
319	24331	51703
320	24401	51615
321	24476	51538
322	24549	51454
323	24643	51415
324	24718	51338
325	24792	51258
326	24869	51183
327	24944	51105
328	25017	51024
329	25102	50965
330	25169	50871
331	25254	50812
332	25330	50736
333	25405	50659
334	25477	50575
335	25550	50491
336	25617	50399
337	25689	50315
338	25767	50242
339	25843	50166
340	25921	50094
341	25994	50013
342	26079	49954
343	26166	49899
344	26241	49820
345	26321	49753
346	26399	49679
347	26474	49602
348	26550	49524
349	26625	49447
350	26705	49378
351	26777	49294
352	26855	49222
353	26937	49156
354	27005	49066
355	27078	48983
356	27151	48902
357	27235	48840
358	27317	48775
359	27400	48711
360	27473	48630
361	27551	48558
362	27624	48475
363	27702	48403
364	27771	48315
365	27851	48244
366	27918	48153
367	27991	48071
368	28070	48000
369	28142	47918
370	28223	47851
371	28299	47774
372	28391	47725
373	28468	47650
374	28533	47555
375	28600	47464
376	28670	47378
377	28739	47291
378	28821	47225
379	28895	47145
380	28984	47090
381	29055	47006
382	29146	46954
383	29220	46875
384	29291	46791
385	29364	46709
386	29443	46637
387	29512	46550
388	29586	46471
389	29647	46372
390	29713	46279
391	29793	46210
392	29867	46130
393	29936	46044
394	30006	45959
395	30086	45889
396	30161	45812
397	30241	45741
398	30317	45666
399	30385	45578
400	30463	45504
401	30528	45412
402	30599	45329
403	30671	45247
404	30740	45162
405	30816	45086
406	30895	45014
407	30967	44933
408	31043	44857
409	31130	44797
410	31196	44707
411	31276	44637
412	31353	44562
413	31415	44467
414	31495	44397
415	31572	44323
416	31646	44244
417	31725	44173
418	31794	44087
419	31867	44006
420	31941	43928
421	32007	43839
422	32089	43772
423	32172	43706
424	32248	43630
425	32324	43555
426	32393	43469
427	32469	43394
428	32545	43317
429	32612	43230
430	32693	43160
431	32762	43076
432	32834	42995
433	32901	42908
434	32976	42831
435	33049	42751
436	33127	42678
437	33199	42598
438	33275	42522
439	33337	42429
440	33410	42350
441	33492	42282
442	33562	42199
443	33628	42111
444	33704	42035
445	33777	41957
446	33855	41883
447	33937	41815
448	34009	41735
449	34077	41650
450	34153	41574
451	34235	41506
452	34312	41432
453	34382	41350
454	34449	41263
455	34517	41178
456	34586	41095
457	34650	41005
458	34725	40929
459	34795	40846
460	34864	40763
461	34946	40695
462	35009	40604
463	35084	40528
464	35160	40453
465	35233	40375
466	35305	40294
467	35376	40214
468	35447	40133
469	35522	40057
470	35593	39976
471	35657	39887
472	35727	39806
473	35803	39730
474	35880	39656
475	35941	39565
476	36010	39482
477	36091	39413
478	36167	39338
479	36252	39273
480	36324	39194
481	36400	39119
482	36480	39048
483	36542	38958
484	36619	38884
485	36694	38809
486	36764	38727
487	36848	38661
488	36914	38574
489	36984	38494
490	37054	38412
491	37130	38338
492	37209	38266
493	37274	38179
494	37344	38098
495	37415	38018
496	37486	37939
497	37562	37863
498	37625	37776
499	37704	37704
500	37778	37627
501	37865	37563
502	37928	37475
503	38015	37412
504	38092	37338
505	38165	37260
506	38231	37175
507	38312	37105
508	38386	37028
509	38464	36955
510	38541	36881
511	38619	36809
512	38702	36740
513	38780	36668
514	38851	36587
515	38915	36502
516	38993	36429
517	39074	36359
518	39156	36289
519	39240	36221
520	39315	36146
521	39385	36065
522	39460	35990
523	39538	35916
524	39609	35837
525	39677	35754
526	39753	35680
527	39823	35599
528	39901	35526
529	39976	35450
530	40054	35377
531	40127	35299
532	40209	35230
533	40282	35152
534	40351	35071
535	40427	34996
536	40501	34920
537	40578	34846
538	40645	34763
539	40719	34687
540	40789	34606
541	40877	34541
542	40954	34468
543	41022	34386
544	41099	34312
545	41181	34242
546	41258	34168
547	41336	34094
548	41408	34016
549	41480	33938
550	41551	33859
551	41611	33771
552	41678	33689
553	41754	33614
554	41833	33542
555	41905	33463
556	41973	33382
557	42058	33314
558	42128	33235
559	42209	33164
560	42290	33093
561	42371	33022
562	42449	32949
563	42528	32876
564	42597	32796
565	42669	32718
566	42742	32640
567	42819	32566
568	42903	32498
569	42985	32427
570	43068	32357
571	43135	32276
572	43209	32199
573	43286	32125
574	43371	32057
575	43441	31977
576	43517	31902
577	43583	31820
578	43655	31742
579	43736	31671
580	43808	31593
581	43878	31514
582	43949	31435
583	44025	31360
584	44096	31281
585	44161	31199
586	44250	31133
587	44319	31054
588	44384	30971
589	44461	30896
590	44532	30818
591	44609	30744
592	44678	30664
593	44744	30582
594	44820	30507
595	44888	30428
596	44958	30348
597	45034	30274
598	45106	30196
599	45177	30118
600	45271	30055
601	45354	29985
602	45423	29905
603	45497	29829
604	45568	29751
605	45640	29673
606	45713	29596
607	45791	29523
608	45871	29451
609	45948	29376
610	46018	29298
611	46089	29220
612	46156	29139
613	46238	29068
614	46317	28995
615	46399	28924
616	46472	28847
617	46558	28778
618	46637	28705
619	46707	28627
620	46783	28552
621	46857	28476
622	46935	28402
623	47008	28325
624	47076	28245
625	47142	28165
626	47228	28096
627	47311	28025
628	47383	27947
629	47461	27874
630	47543	27802
631	47627	27732
632	47695	27652
633	47767	27575
634	47841	27499
635	47913	27421
636	47978	27340
637	48050	27263
638	48122	27186
639	48196	27110
640	48267	27032
641	48330	26950
642	48394	26869
643	48467	26792
644	48538	26714
645	48612	26639
646	48683	26561
647	48757	26485
648	48831	26409
649	48898	26330
650	48964	26249
651	49041	26175
652	49115	26099
653	49187	26022
654	49268	25950
655	49335	25871
656	49409	25795
657	49483	25719
658	49548	25638
659	49628	25566
660	49698	25488
661	49767	25409
662	49840	25333
663	49918	25259
664	49978	25176
665	50058	25104
666	50123	25023
667	50188	24943
668	50268	24871
669	50334	24791
670	50409	24716
671	50474	24636
672	50540	24556
673	50610	24479
674	50690	24406
675	50762	24329
676	50842	24256
677	50912	24179
678	50984	24103
679	51053	24025
680	51125	23948
681	51209	23877
682	51287	23804
683	51359	23727
684	51432	23651
685	51510	23577
686	51578	23499
687	51651	23423
688	51718	23344
689	51799	23272
690	51875	23197
691	51943	23119
692	52005	23038
693	52081	22963
694	52164	22892
695	52237	22816
696	52315	22742
697	52381	22663
698	52461	22590
699	52543	22518
700	52603	22437
701	52678	22362
702	52749	22285
703	52825	22210
704	52885	22129
705	52959	22053
706	53036	21979
707	53100	21900
708	53178	21826
709	53249	21749
710	53346	21683
711	53427	21611
712	53497	21534
713	53569	21457
714	53645	21383
715	53712	21304
716	53791	21231
717	53882	21162
718	53963	21090
719	54025	21010
720	54098	20933
721	54168	20857
722	54246	20783
723	54341	20715
724	54417	20641
725	54484	20563
726	54558	20487
727	54633	20412
728	54713	20339
729	54788	20264
730	54868	20190
731	54951	20119
732	55040	20048
733	55117	19974
734	55194	19899
735	55283	19829
736	55355	19753
737	55438	19681
738	55510	19605
739	55593	19532
740	55671	19458
741	55754	19386
742	55830	19311
743	55905	19236
744	55973	19158
745	56051	19084
746	56121	19007
747	56201	18934
748	56273	18858
749	56364	18788
750	56445	18715
751	56519	18639
752	56596	18564
753	56677	18491
754	56761	18419
755	56845	18346
756	56928	18274
757	56989	18194
758	57075	18122
759	57139	18044
760	57211	17967
761	57297	17896
762	57391	17826
763	57470	17752
764	57548	17678
765	57619	17601
766	57693	17526
767	57768	17450
768	57840	17374
769	57912	17298
770	57984	17222
771	58063	17148
772	58144	17074
773	58221	16999
774	58299	16925
775	58374	16850
776	58458	16777
777	58535	16703
778	58609	16627
779	58684	16552
780	58766	16478
781	58838	16402
782	58911	16326
783	58979	16249
784	59052	16173
785	59125	16097
786	59200	16022
787	59269	15945
788	59349	15871
789	59432	15798
790	59527	15728
791	59594	15651
792	59681	15579
793	59756	15503
794	59836	15429
795	59924	15357
796	60004	15283
797	60074	15206
798	60149	15131
799	60219	15054
800	60298	14980
801	60381	14907
802	60461	14833
803	60541	14758
804	60605	14680
805	60683	14606
806	60756	14530
807	60829	14454
808	60898	14377
809	60972	14302
810	61044	14226
811	61107	14148
812	61179	14072
813	61255	13997
814	61326	13920
815	61411	13847
816	61479	13770
817	61552	13694
818	61621	13618
819	61696	13543
820	61769	13467
821	61836	13390
822	61908	13314
823	61991	13240
824	62072	13166
825	62147	13091
826	62221	13016
827	62299	12941
828	62362	12863
829	62441	12789
830	62512	12713
831	62579	12636
832	62647	12559
833	62718	12483
834	62794	12408
835	62877	12334
836	62949	12259
837	63016	12182
838	63082	12105
839	63150	12028
840	63220	11952
841	63291	11876
842	63361	11800
843	63441	11726
844	63513	11650
845	63584	11574
846	63661	11499
847	63737	11424
848	63808	11348
849	63884	11273
850	63965	11199
851	64033	11123
852	64097	11046
853	64177	10971
854	64257	10897
855	64338	10823
856	64428	10750
857	64503	10675
858	64583	10600
859	64656	10525
860	64725	10449
861	64792	10372
862	64867	10297
863	64934	10221
864	65014	10146
865	65083	10070
866	65154	9994
867	65232	9920
868	65295	9843
869	65370	9768
870	65454	9694
871	65530	9619
872	65602	9543
873	65675	9468
874	65752	9393
875	65821	9317
876	65893	9241
877	65974	9167
878	66047	9091
879	66120	9016
880	66209	8943
881	66274	8866
882	66345	8790
883	66425	8716
884	66498	8641
885	66577	8566
886	66653	8491
887	66727	8416
888	66792	8339
889	66857	8263
890	66924	8187
891	66994	8111
892	67076	8037
893	67146	7961
894	67223	7886
895	67309	7812
896	67372	7736
897	67454	7661
898	67533	7587
899	67612	7512
900	67684	7437
901	67751	7361
902	67834	7286
903	67913	7212
904	67988	7136
905	68074	7062
906	68145	6987
907	68213	6911
908	68277	6835
909	68352	6760
910	68437	6686
911	68506	6610
912	68576	6534
913	68640	6458
914	68717	6383
915	68788	6308
916	68865	6233
917	68932	6157
918	68997	6081
919	69068	6005
920	69148	5931
921	69215	5855
922	69284	5779
923	69349	5704
924	69427	5629
925	69497	5553
926	69575	5478
927	69645	5403
928	69718	5328
929	69796	5253
930	69874	5178
931	69952	5103
932	70021	5028
933	70111	4954
934	70186	4879
935	70260	4804
936	70325	4728
937	70399	4653
938	70475	4578
939	70546	4502
940	70626	4428
941	70698	4353
942	70772	4277
943	70844	4202
944	70920	4127
945	70993	4052
946	71068	3977
947	71135	3901
948	71215	3827
949	71294	3752
950	71375	3677
951	71451	3602
952	71523	3527
953	71593	3452
954	71656	3376
955	71725	3301
956	71800	3226
957	71875	3151
958	71938	3075
959	72006	3000
960	72076	2925
961	72147	2849
962	72217	2774
963	72286	2699
964	72360	2624
965	72435	2549
966	72511	2474
967	72582	2399
968	72655	2324
969	72731	2249
970	72805	2174
971	72882	2099
972	72957	2024
973	73029	1949
974	73103	1874
975	73177	1799
976	73250	1724
977	73326	1649
978	73398	1574
979	73474	1499
980	73556	1424
981	73629	1349
982	73701	1274
983	73778	1199
984	73856	1124
985	73923	1049
986	73996	974
987	74067	899
988	74137	824
989	74214	749
990	74289	674
991	74365	599
992	74452	524
993	74537	449
994	74612	374
995	74696	299
996	74771	224
997	74837	149
998	74910	74
999	74978	0
